TEAM,SOR RK,SEED,SOR S-CURVE,SOS RK,NON-CONF SOS RK,BPI RK,BPI OFF,BPI DEF,BPI,,,
Gonzaga,7,1,7,80,35,1,12.7,8.1,20.8,,,
Houston,14,5,14,87,93,2,10,9.3,19.3,,,
Arizona,2,1,2,73,51,3,10.7,7.4,18.1,,,
Kentucky,5,2,5,17,43,4,11.1,6.9,18,,,
Tennessee,3,3,3,2,4,5,7,10.9,17.9,,,
Baylor,4,1,4,11,57,6,9.7,7.7,17.4,,,
Villanova,8,2,8,19,3,7,10.8,6.6,17.4,,,
UCLA,15,4,15,55,8,8,9.3,7.3,16.5,,,
Kansas,1,1,1,10,36,9,10.7,5.7,16.5,,,
Purdue,9,3,9,25,73,10,12.6,3.7,16.3,,,
Duke,11,2,11,56,47,11,10.9,5.3,16.3,,,
Auburn,6,2,6,34,49,12,6.7,9.3,16,,,
Texas Tech,12,3,12,13,54,13,5.4,10.5,15.9,,,
Iowa,17,5,17,37,87,14,12.3,3.5,15.8,,,
LSU,26,6,26,26,122,15,3.8,10.5,14.3,,,
Illinois,18,4,18,18,63,16,7.9,6.4,14.3,,,
Texas,25,6,25,20,133,17,5.5,8.2,13.7,,,
UConn,22,5,22,43,32,18,7.6,6,13.7,,,
Virginia Tech,42,11,42,58,16,19,7.8,5.1,13,,,
Arkansas,16,4,16,47,169,20,5.5,7.1,12.6,,,
Alabama,27,6,27,1,5,21,8.6,3.4,12.1,,,
Saint Mary's,24,5,24,78,64,22,4,7.5,11.5,,,
Ohio State,35,7,35,21,30,23,9,2.4,11.5,,,
Memphis,39,9,39,60,13,24,5,6.5,11.4,,,
Loyola Chicago,51,10,48,115,55,25,5.5,5.9,11.4,,,
North Carolina,19,8,19,45,14,26,7,4.1,11.1,,,
Wisconsin,10,3,10,14,27,27,5.1,5.8,10.9,,,
San Diego State,40,8,40,88,45,28,0.4,10.4,10.8,,,
Michigan,45,11,45,4,15,29,7.6,3.2,10.8,,,
Murray State,21,7,21,266,208,30,6.5,4.1,10.7,,,
San Francisco,50,10,71,92,95,31,5.3,5.3,10.6,,,
Michigan State,23,7,23,8,9,32,5.2,5.3,10.4,,,
Oklahoma,47,--,47,5,44,33,4.6,5.8,10.4,,,
Indiana,48,12,69,33,70,34,3.3,7.1,10.4,,,
Mississippi State,73,--,87,40,90,35,5.4,5,10.3,,,
Seton Hall,31,8,31,44,76,36,4.5,5.7,10.2,,,
Vermont,71,13,52,314,233,37,6.5,3.5,10,,,
Wake Forest,46,--,46,85,319,38,5.6,4.3,9.9,,,
Oklahoma State,62,--,--,6,99,39,0.7,9.2,9.9,,,
USC,20,7,20,76,181,40,4.9,4.9,9.8,,,
