TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Rebounding_Percent,Offensive Rebounding_percent,Turnovers_Per_Possession,Opponent_Turnovers_Per_Possession,Opponent_Fouls_Per_Possession,Extra_Scoring_Chances_Per_Game,Effective_Possession_Ratio,Opponent_Effective_Possession_Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian Wildcats,33,76.3,26.3,60.4,43.6,6.7,21.5,31.2,16.9,22.6,74.9,10.6,21.5,32.1,14.9,11,1.8,12.5,22.2,46.30%,25.70%,17.20%,28.10%,29.00%,8.3,0.947,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force Falcons,29,59,21.6,49.6,43.6,7.2,21.6,33.3,8.6,13.3,64.9,5.9,20.6,26.6,12.5,5.4,3,13.6,18,44.60%,17.20%,21.20%,20.00%,26.10%,-3.6,0.864,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,33,71.2,24.4,52.9,46.2,7.9,22.2,35.7,14.4,21,68.7,9.9,25.1,35,11.9,5.8,3.3,11.5,15.8,51.90%,27.60%,17.40%,17.20%,29.10%,0.3,0.946,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M Bulldogs,30,61.4,21.9,57.8,37.9,3.9,14.4,27.1,13.8,19.4,71.3,11.1,26.7,37.8,9.5,7.1,3.2,13.6,16.1,48.80%,27.10%,19.00%,19.10%,23.70%,-0.4,0.942,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,32,80,27.7,62.8,44.1,9.3,30.1,30.8,15.4,21.1,73,13.5,26.4,40,14.6,7,4.7,14.6,18.7,52.50%,33.80%,19.40%,17.30%,24.50%,-0.2,0.961,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama State Hornets,30,69,24,56.8,42.3,6.2,18.8,33,14.8,20.9,70.5,10.5,23.6,34.1,11.8,7.4,3.6,15.4,17.9,48.00%,25.80%,20.90%,18.80%,24.00%,-3.8,0.901,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Great Danes,31,61.8,23,56.2,41,5.9,18.2,32.3,9.8,14,70.3,9.1,22.9,32,9.4,6.7,2.5,12.4,18,48.40%,22.30%,18.10%,20.00%,21.90%,1.5,0.92,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn State Braves,33,66.7,24,58.1,41.3,5.4,17.2,31.4,13.3,19.2,69.4,11.6,24.2,35.8,10.2,7.5,2.7,14,17.7,51.00%,29.80%,19.60%,18.60%,24.20%,1.1,0.937,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American University Eagles,32,63.5,24.4,54.3,45,5,15.2,33.1,9.6,13.9,69.4,8,22.8,30.7,12.2,6.5,3.1,13.4,14.9,48.10%,23.20%,19.80%,17.00%,21.10%,-2.7,0.903,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian State Mountaineers,33,66.9,24.2,58.1,41.7,8.2,24.8,33.3,10.2,15.5,65.9,10,25.3,35.3,12.5,5.6,2.3,10.1,12.9,49.20%,23.70%,15.50%,17.60%,23.20%,1.6,0.961,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State Sun Devils,31,65.4,25,60.4,41.4,6.9,22.5,30.7,8.5,12.8,66.1,9.4,26.1,35.5,13.4,6.7,4.2,11.9,18.2,47.20%,22.10%,16.90%,19.10%,21.50%,-0.5,0.938,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,34,84.6,30.4,61.4,49.6,7.8,21.9,35.4,15.9,21.6,73.8,11.4,29.9,41.4,19.9,6.7,5.7,13.2,16.5,55.20%,33.90%,17.60%,17.30%,25.20%,0.4,0.963,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,33,76.9,26.6,60.6,44,6.4,20.8,30.7,17.3,23,75.3,11.2,26.9,38.2,14.1,7.7,4.2,12.6,16.9,52.50%,29.00%,17.00%,20.20%,26.70%,4.5,0.961,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State Red Wolves,29,70.9,25.7,57,45.1,5.4,17.4,31.1,14.1,18.9,74.5,10.1,25.9,36,15.6,7.9,3.3,13.9,16.7,51.00%,27.00%,20.20%,18.90%,24.70%,-1.4,0.918,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas-Pine Bluff Golden Lions,31,66.4,22.9,56,40.9,6.8,22.8,30,13.8,19.3,71.5,8.8,20.6,29.5,11.5,7.2,2.6,13.2,17.5,43.30%,23.00%,19.10%,18.30%,23.90%,-3,0.914,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army Black Knights,31,70.4,25.9,59.3,43.7,6.7,21,32.1,11.8,18.7,63,11.2,26,37.2,12.5,7.8,1.9,13.2,14.8,50.70%,27.20%,18.50%,18.90%,23.90%,1.3,0.941,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,32,78.7,27.9,63.6,44,8.1,25.4,32,14.7,20.1,73.3,12.5,27.5,39.9,14.6,8.8,7.9,12.1,18.6,52.20%,31.00%,16.20%,20.10%,23.60%,4,0.975,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay Governors,29,64.7,23.1,56.5,40.8,7.9,25,31.5,10.6,15,70.6,10.6,22.2,32.8,13.5,6.4,2,13.9,16.7,48.30%,27.80%,21.00%,20.50%,24.10%,0.7,0.928,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball State Cardinals,31,74.3,25.4,57.5,44.2,8.5,23.7,36.1,14.9,21.5,69.4,9.7,25.9,35.6,13.2,6.1,2.4,14,17.9,49.40%,25.40%,19.20%,16.80%,27.00%,-2.1,0.921,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,32,76.5,28.2,60.9,46.4,7.9,23,34.6,12.1,17.4,69.8,12.8,24.4,37.1,15.8,8.8,3.4,12.5,15.8,53.70%,34.50%,17.80%,22.30%,23.40%,5.8,0.978,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellarmine Knights,33,70.1,26.6,56,47.5,7.8,22.9,34,9.1,12.1,75.2,7.3,23,30.3,14.5,5.6,1.7,9.5,14.3,46.00%,21.40%,14.80%,17.40%,23.40%,-0.7,0.948,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Bruins,32,78.5,29.1,59.4,48.9,8.6,25.8,33.2,11.8,16,74,7.9,25.7,33.6,18.1,9.2,3.9,11.9,13.5,50.00%,23.20%,16.70%,20.80%,20.20%,1.1,0.928,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune-Cookman Wildcats,30,63.4,23.7,56.8,41.6,4.8,14.3,33.6,11.2,16.3,68.9,10,22.6,32.6,10.8,7.9,2.4,13.3,17.1,47.50%,25.20%,19.30%,19.90%,23.00%,-0.1,0.925,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
