Team,Kenpom_Rating,AdjO,AdjO_Rank,AdjD,AdjD_Rank,Adj_Tempo,Adj_Tempo_Rank,Luck,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS+Rank,,,,,,,,,,,,,,,,
Abl Christian,3.63,103,182,99.4,105,69.9,44,0.028,-2.26,203,100.8,259,103.1,156,-2.53,245,,,,,,,,,,,,,,,,
Air Force,-7.77,96,305,103.8,196,63.2,340,0.068,2.54,111,104.2,120,101.7,115,-8.36,348,,,,,,,,,,,,,,,,
Akron,3.49,106.2,113,102.7,166,62.1,351,0.026,-5.24,280,100.8,264,106,288,-4.18,286,,,,,,,,,,,,,,,,
Alab A&M,-13.5,87.6,355,101.1,134,66.5,207,0.034,-8.22,341,98.1,348,106.3,297,2.68,99,,,,,,,,,,,,,,,,
Alabama,17.36,116.1,14,98.7,94,71.7,12,-0.022,12.79,1,109.7,3,96.9,7,10.22,11,,,,,,,,,,,,,,,,
Alabama St,-13.24,97.2,283,110.5,307,69.3,61,-0.002,-5.81,293,98.6,339,104.5,223,10.67,8,,,,,,,,,,,,,,,,
Albany,-10.64,92.3,342,103,172,65,283,0.042,-5.97,299,100.4,282,106.4,300,-0.62,182,,,,,,,,,,,,,,,,
Alcorn State,-8.46,97.2,285,105.7,232,67.7,127,0.136,-4.32,256,99.4,319,103.7,184,14.35,2,,,,,,,,,,,,,,,,
American,-16.28,94.5,324,110.8,319,64.8,295,0.003,-7.38,328,99.6,318,107,321,-3.8,275,,,,,,,,,,,,,,,,
App State,1.23,101.7,199,100.5,124,64.1,325,0.026,-0.1,150,103.1,162,103.2,159,6.64,26,,,,,,,,,,,,,,,,
AR Lit Rock,-14.69,97.2,282,111.9,333,66.6,198,0.075,0.54,137,102.8,169,102.3,125,4.59,49,,,,,,,,,,,,,,,,
