Rank,Team,Opponent_rebounds,Opponent Fg%,Opponent FG Attempts,Opponent FGM,Opponent PPG,Win_Percent,,,,,,,,
248,Abl Christian,36,44.40%,49.7,22.1,68.4,0.655,,,,,,,,
85,Air Force,33,46.30%,49.8,23.1,66,0.379,,,,,,,,
38,Akron,31.5,43.20%,54.8,23.7,64.2,0.71,,,,,,,,
350,Alab A&M,39.6,40.10%,59.7,23.9,67,0.4,,,,,,,,
258,Alabama,36.2,43.50%,61.7,26.8,76.4,0.594,,,,,,,,
290,Alabama St,36.9,44.20%,60.2,26.6,75.6,0.3,,,,,,,,
144,Albany,34.2,43.90%,52.9,23.2,65.9,0.419,,,,,,,,
150,Alcorn State,34.3,44.70%,55.8,24.9,71,0.515,,,,,,,,
92,American,33.1,47.30%,56.1,26.5,70.9,0.313,,,,,,,,
175,App State,34.8,43.60%,55.9,24.4,64.8,0.533,,,,,,,,
204,AR Lit Rock,35.2,48.70%,56,27.3,75.4,0.24,,,,,,,,
115,Arizona,33.6,38.70%,64.9,25.1,67.5,0.912,,,,,,,,
352,Arizona St,39.8,40.00%,58,23.2,67.2,0.452,,,,,,,,
325,Ark Pine Bl,38,50.20%,58.3,29.2,79.3,0.172,,,,,,,,
159,Arkansas,34.5,41.10%,57.8,23.7,68.5,0.758,,,,,,,,
124,Arkansas St,33.8,43.60%,58.3,25.4,68.8,0.577,,,,,,,,
198,Army,35.1,45.40%,59.4,27,72.1,0.448,,,,,,,,
281,Auburn,36.6,38.50%,59,22.7,67,0.844,,,,,,,,
210,Austin Peay,35.3,46.40%,53.3,24.7,69.3,0.37,,,,,,,,
269,Ball State,36.4,44.60%,60.3,26.9,77.4,0.433,,,,,,,,
48,Baylor,32,42.50%,55.6,23.6,63.6,0.813,,,,,,,,
112,Bellarmine,33.5,46.10%,54.2,25,70.4,0.552,,,,,,,,
110,Belmont,33.5,42.60%,58.9,25.1,67.6,0.774,,,,,,,,
215,Beth-Cook,35.3,45.40%,54.6,24.8,70.5,0.276,,,,,,,,
240,Binghamton,35.9,43.70%,58.1,25.4,69.9,0.37,,,,,,,,
10,Boise State,30,42.80%,52.9,22.7,60.9,0.788,,,,,,,,
89,Boston Col,33,44.90%,53.8,24.2,68.1,0.394,,,,,,,,
19,Boston U,30.4,45.00%,55.4,24.9,67.6,0.625,,,,,,,,
345,Bowling Grn,39,45.80%,63.3,29,82.2,0.379,,,,,,,,
45,Bradley,31.9,40.80%,56,22.9,65.2,0.533,,,,,,,,
195,Brown,35.1,44.70%,56.4,25.2,70.7,0.407,,,,,,,,
333,Bryant,38.4,42.00%,65.9,27.7,73.4,0.7,,,,,,,,
225,Bucknell,35.6,46.60%,63.7,29.7,79.4,0.281,,,,,,,,
171,Buffalo,34.7,43.00%,62.8,27,73.6,0.607,,,,,,,,
141,Butler,34.1,44.00%,55.7,24.5,67.8,0.387,,,,,,,,
60,BYU,32.3,42.10%,59,24.9,68.6,0.667,,,,,,,,
190,Cal Baptist,35,42.70%,58.1,24.8,69.2,0.5,,,,,,,,
91,Cal Poly,33.1,41.50%,54.7,22.7,67.9,0.222,,,,,,,,
300,Cal St Nrdge,37.1,45.60%,54.1,24.7,71.2,0.214,,,,,,,,
126,California,33.8,42.10%,55.6,23.4,66.1,0.375,,,,,,,,
75,Campbell,32.7,43.90%,53.4,23.4,63.6,0.5,,,,,,,,
