,Game,Win Percentage of Asterisk Team
0,akron v gonzaga,0.005276663148134494
1,akron v arizona,0.018534400743845127
2,akron v kentucky,0.019593426529463567
3,akron v duke,0.025539389760059313
4,akron v baylor,0.02817385936044178
5,akron v iowa,0.04210607137903542
6,akron v houston,0.0317690055314855
7,akron v texas-tech,0.049080659430040155
8,akron v connecticut,0.04278449771099174
9,akron v ucla,0.05588634112345465
10,akron v kansas,0.06932079709714883
11,akron v auburn,0.07944648038192481
12,akron v tennessee,0.07067969017402001
13,akron v purdue,0.06709143616780211
14,akron v arkansas,0.11525161499220912
15,akron v villanova,0.07870601850906794
16,akron v loyola-il,0.0963672138679292
17,akron v virginia-tech,0.09637613674001602
18,akron v indiana,0.13450457897192078
19,akron v illinois,0.11271363894239038
20,akron v wisconsin,0.12877981417934348
21,akron v louisiana-state,0.17810489007152852
22,akron v providence,0.15354851364406963
23,akron v saint-marys-ca,0.14219048897818587
24,akron v southern-california,0.15191126906808153
25,akron v san-francisco,0.18069961578673208
26,akron v memphis,0.1924223253081886
27,akron v north-carolina,0.17461271115706906
28,akron v texas,0.14455322507631685
29,akron v michigan-state,0.1872419074684772
30,akron v seton-hall,0.2141194448159105
31,akron v alabama-birmingham,0.19163361933072648
32,akron v colorado-state,0.1950140378334112
33,akron v creighton,0.28462260623739283
34,akron v ohio-state,0.19934136131904576
35,akron v san-diego-state,0.26478017041946694
36,akron v texas-christian,0.25025836155729875
37,akron v marquette,0.30491942748723505
38,akron v notre-dame,0.24798563072056623
39,akron v davidson,0.23412126549594336
40,akron v boise-state,0.25662092227903266
41,akron v alabama,0.2644784462265322
42,akron v michigan,0.25690621304857486
43,akron v miami-fl,0.319872326027614
44,akron v murray-state,0.2561992647113652
45,akron v iowa-state,0.42920669125120975
46,akron v richmond,0.43599685809265276
47,akron v vermont,0.3027560359303304
48,akron v yale,0.6752764767754902
49,akron v colgate,0.39118804437308724
50,akron v wright-state,0.4449327716225287
51,akron v chattanooga,0.5285214270133195
52,akron v delaware,0.7354433828374607
53,akron v new-mexico-state,0.6641143663239732
54,akron v saint-peters,0.8334197627794877
55,akron v south-dakota-state,0.4924634680422536
56,akron v texas-southern,0.8914760549705636
57,akron v cal-state-fullerton,0.7917810130336835
58,akron v montana-state,0.6703571516442015
59,akron v georgia-state,0.9431500283399372
60,akron v longwood,0.6842362302992737
61,akron v jacksonville-state,0.7561120521904148
62,akron v norfolk-state,0.8818717935203004
63,alabama v villanova,0.25722518478292455
64,alabama v ucla,0.3189989217169089
65,alabama v tennessee,0.32712052797396246
66,alabama v saint-marys-ca,0.3423264392456869
67,alabama v loyola-il,0.4081027745373707
68,alabama v kansas,0.4051263632046065
69,alabama v wisconsin,0.380536006052289
70,alabama v houston,0.3581461415094868
71,alabama v auburn,0.43889877078346284
72,alabama v illinois,0.3874812472037235
73,alabama v michigan,0.42596260883666903
74,alabama v michigan-state,0.423982295612379
